,monthly_price,latitude,longitude,bedrooms,bathrooms,daft_link
102,450000,52.631141,-7.27664,4 Bed,2 Bath,http://www.daft.ie/for-sale/detached-house-willow-lodge-the-crescent-kilkenny-co-kilkenny/3713418
103,162000,53.730298,-9.005075,3 Bed,2 Bath,http://www.daft.ie/for-sale/end-of-terrace-house-30-grattan-close-grattan-park-claremorris-co-mayo/3723480
104,190000,51.871518,-8.334968,2 Bed,2 Bath,http://www.daft.ie/for-sale/apartment-apartment-15-mariners-quay-passage-west-co-cork/3709142
105,350000,53.703455,-6.322274,4 Bed,3 Bath,http://www.daft.ie/for-sale/detached-house-10-five-oaks-village-dublin-road-drogheda-co-louth/3709787
106,95000,53.65244492574425,-6.298372554906081,1+ bed,1+ bath,http://www.daft.ie/for-sale/site-lisdornan-julianstown-co-meath/3718581
107,375000,53.279505,-6.365396,3 Bed,1 Bath,http://www.daft.ie/for-sale/semi-detached-house-11-tymon-lawn-oldbawn-tallaght-dublin-24/3709454
108,205000,53.277674,-6.413727,2 Bed,1 Bath,http://www.daft.ie/for-sale/apartment-40-belfry-park-citywest-co-dublin/3716027
109,215000,53.278089,-6.419148,2 Bed,2 Bath,http://www.daft.ie/for-sale/apartment-apartment-23-block-a-belfry-hall-citywest-co-dublin/3716190
110,250000,53.78503,-8.917646,5 Bed,3 Bath,http://www.daft.ie/for-sale/detached-house-mystical-rose-churchfield-knock-co-mayo/3723077
111,495000,54.267859,-8.498495,5 Bed,4 Bath,http://www.daft.ie/for-sale/detached-house-6-linnet-lane-kevinsfort-sligo-co-sligo/3723227
112,179000,54.177606,-8.492082,4 Bed,3 Bath,http://www.daft.ie/for-sale/semi-detached-house-5-radharc-na-gcaisle-n-collooney-co-sligo/3722799
113,280000,53.384214,-6.211992,2 Bed,1 Bath,http://www.daft.ie/for-sale/apartment-apartment-79-block-a-the-timber-mill-artane-dublin-5/3709126
114,75000,54.267497,-8.47235,1 Bed,1 Bath,http://www.daft.ie/for-sale/apartment-apartment-13-block-b-city-gate-connolly-street-sligo-co-sligo/3722653
115,350000,51.869937,-8.444275,4 Bed,2 Bath,http://www.daft.ie/for-sale/detached-house-50-grange-erin-douglas-douglas-co-cork/3718759
116,235000,53.166638,-7.185895,3 Bed,2 Bath,http://www.daft.ie/for-sale/semi-detached-house-121-crann-nua-portarlington-co-laois/3722111
117,195000,52.130668,-8.289032,3 Bed,2 Bath,http://www.daft.ie/for-sale/end-of-terrace-house-111-glencullen-fermoy-co-cork/3719838
118,250000,52.140601,-8.275076,4 Bed,3 Bath,http://www.daft.ie/for-sale/townhouse-16-francis-street-rathealy-fermoy-co-cork/2884077
119,275000,52.140601,-8.275013,3 Bed,3 Bath,http://www.daft.ie/for-sale/terraced-house-15b-francis-street-rathealy-fermoy-co-cork/3586530
120,170000,52.147995,-8.052447,3 Bed,2 Bath,http://www.daft.ie/for-sale/detached-house-ballyduff-lismore-co-waterford/3721334
121,310000,53.154406,-7.184194,4 Bed,3 Bath,http://www.daft.ie/for-sale/semi-detached-house-92-castlegate-station-road-portarlington-co-laois/3717334
122,495000,53.3129023,-6.3220592,3 Bed,1 Bath,http://www.daft.ie/for-sale/detached-house-5-avondale-terrace-perrystown-dublin-12/3641679
123,225000,52.817721,-8.867773,3 Bed,3 Bath,http://www.daft.ie/for-sale/semi-detached-house-22-d-n-na-manach-quin-ennis-co-clare/3696845
124,320000,52.848745,-9.431919,3 Bed,2 Bath,http://www.daft.ie/for-sale/bungalow-38-westpark-spanish-point-spanish-point-co-clare/3712930
125,290000,53.56565,-6.385777,3 Bed,2 Bath,http://www.daft.ie/for-sale/semi-detached-house-9-ballygarra-park-garristown-co-dublin/3551533
126,279000,53.331582,-6.325489,2 Bed,2 Bath,http://www.daft.ie/for-sale/terraced-house-76-kilworth-road-drimnagh-drimnagh-dublin-12/3694716
127,325000,53.271369,-9.050513,2 Bed,2 Bath,http://www.daft.ie/for-sale/apartment-apartment-26-hynes-yard-co-galway/3718521
128,195000,54.264432,-8.469971,4 Bed,3 Bath,http://www.daft.ie/for-sale/detached-house-sunnyvale-mail-coach-road-sligo-co-sligo/3718381
129,290000,53.700501,-6.628345,3 Bed,1 Bath,http://www.daft.ie/for-sale/bungalow-willow-cottage-caucestown-navan-co-meath/3707344
130,150000,53.909899,-9.413245,3 Bed,2 Bath,http://www.daft.ie/for-sale/detached-house-muckanagh-glenisland-castlebar-co-mayo/3535943
131,275000,53.154937,-7.184054,4 Bed,3 Bath,http://www.daft.ie/for-sale/semi-detached-house-6-castlegate-station-road-portarlington-co-laois/3716205
132,395000,52.631473,-8.638177,4 Bed,2 Bath,http://www.daft.ie/for-sale/detached-house-10-the-hurdles-huntsfield-dooradoyle-co-limerick/3717034
133,300000,51.9057,-8.461541,2 Bed,1 Bath,http://www.daft.ie/for-sale/end-of-terrace-house-1-pinafore-villas-military-road-st-lukes-co-cork/3712762
