,monthly_price,latitude,longitude,bedrooms,bathrooms,daft_link
342,475000,52.059446,-9.511653,3 Bed,2 Bath,http://www.daft.ie/for-sale/terraced-house-physique-fitness-studio-3-chapel-lane-killarney-co-kerry/3714430
343,345000,53.3402918271245,-8.47242737341827,4 Bed,2 Bath,http://www.daft.ie/for-sale/detached-house-carrowmore-woodlawn-ballinasloe-co-galway/3727659
344,350000,53.359722,-6.275814,2 Bed,1 Bath,http://www.daft.ie/for-sale/terraced-house-28-avondale-avenue-phibsborough-phibsborough-dublin-7/3726866
345,189000,51.689665,-9.082461,3 Bed,2 Bath,http://www.daft.ie/for-sale/detached-house-laois-cottage-lisbealad-east-dunmanway-co-cork/3726850
346,49000,53.928622,-8.325791,3 Bed,1+ bath,http://www.daft.ie/for-sale/detached-house-ballymore-west-boyle-co-roscommon/3697438
347,460000,51.87599,-8.426026,4 Bed,2 Bath,http://www.daft.ie/for-sale/semi-detached-house-glenawilling-31-lime-trees-road-maryborough-estate-douglas-co-cork/3725460
348,175000,53.469427,-9.104603,4 Bed,1 Bath,http://www.daft.ie/for-sale/semi-detached-house-main-street-headford-co-galway/3572859
349,145000,53.761114,-8.776597,3 Bed,3 Bath,http://www.daft.ie/for-sale/semi-detached-house-37-the-maples-ballyhaunis-co-mayo/3628793
350,295000,53.4746136,-6.238909,2 Bed,2 Bath,http://www.daft.ie/for-sale/terraced-house-35-ashton-court-swords-co-dublin/3722012
351,275000,53.4458202,-6.2479887,2 Bed,2 Bath,http://www.daft.ie/for-sale/apartment-50-gleneagle-house-the-oaks-ridgewood-swords-swords-co-dublin/3706152
352,310000,52.623663,-8.646001,3 Bed,2 Bath,http://www.daft.ie/for-sale/semi-detached-house-5-greenview-close-glencairin-dooradoyle-co-limerick/3724234
353,489500,53.298231,-6.232906,2 Bed,2 Bath,http://www.daft.ie/for-sale/apartment-apartment-36-the-sycamore-trimbleston-goatstown-dublin-14/3620475
354,320000,53.2750685,-8.9643881,3 Bed,3 Bath,http://www.daft.ie/for-sale/semi-detached-house-358-boireann-bheag-roscam-co-galway/3719908
355,245000,52.27252,-7.108783,3 Bed,2 Bath,http://www.daft.ie/for-sale/semi-detached-house-27-brockton-avenue-hollybrook-ferrybank-co-waterford/3723374
356,395000,51.919613,-8.322536,2 Bed,2 Bath,http://www.daft.ie/for-sale/bungalow-carrigrenan-sunville-glounthaune-co-cork/3722934
357,190000,51.889126,-8.487048,2 Bed,1 Bath,http://www.daft.ie/for-sale/semi-detached-house-20-lough-view-terrace-glasheen-road-the-lough-co-cork/3693562
358,230000,53.404288,-6.407832,1 Bed,1 Bath,http://www.daft.ie/for-sale/apartment-39-whatley-hall-clonee-dublin-15/3722415
359,190000,53.156531,-7.179617,3 Bed,2 Bath,http://www.daft.ie/for-sale/terraced-house-40-kilnacourt-woods-portarlington-co-laois/3629721
360,179000,53.152831,-7.179055,3 Bed,1 Bath,http://www.daft.ie/for-sale/terraced-house-69-saint-brigids-square-portarlington-co-laois/3648557
361,365000,53.328334,-6.329455,3 Bed,3 Bath,http://www.daft.ie/for-sale/terraced-house-150-mangerton-road-drimnagh-drimnagh-dublin-12/3715403
362,270000,53.451378,-6.199947,2 Bed,1 Bath,http://www.daft.ie/for-sale/apartment-45-the-water-rill-waterside-malahide-co-dublin/3689889
363,230000,53.85712,-9.320323,3 Bed,2 Bath,http://www.daft.ie/for-sale/semi-detached-house-49-dunbeag-newport-road-castlebar-co-mayo/3560046
364,199500,53.841466,-9.323336,3 Bed,3 Bath,http://www.daft.ie/for-sale/semi-detached-house-40-meadow-park-castlebar-co-mayo/3658531
365,310000,51.961208949379824,-8.340334393100363,3 Bed,2 Bath,http://www.daft.ie/new-home-for-sale/terraced-house-house-type-a-radharc-na-tuaithe-radharc-na-tuaithe-knockraha-glanmire-co-cork/3717227
366,225000,52.235932,-7.110872,3 Bed,3 Bath,http://www.daft.ie/for-sale/semi-detached-house-8-the-grove-fairfield-park-co-waterford/3716998
367,350000,53.365242,-6.226859,2 Bed,1 Bath,http://www.daft.ie/for-sale/apartment-apt-32-crescent-house-howth-road-clontarf-dublin-3/3575035
368,195000,52.259462,-7.096311,3 Bed,3 Bath,http://www.daft.ie/for-sale/semi-detached-house-9-estuary-wood-ferrybank-ferrybank/3716185
369,210000,53.611286,-6.182765,2 Bed,1 Bath,http://www.daft.ie/for-sale/apartment-apartment-10-papworth-hall-balbriggan-co-dublin/1413198
370,148000,52.799368,-7.830514,4 Bed,1 Bath,http://www.daft.ie/for-sale/detached-house-29-church-street-templemore-co-tipperary/3565485
371,310000,52.996594543851586,-6.962477495085608,3 Bed,3 Bath,http://www.daft.ie/new-home-for-sale/semi-detached-house-house-type-2-gallow-hill-gallow-hill-kildare-road-athy-co-kildare/2829539
372,310000,52.996594543851586,-6.962477495085608,3 Bed,3 Bath,http://www.daft.ie/new-home-for-sale/semi-detached-house-house-type-1-gallow-hill-gallow-hill-kildare-road-athy-co-kildare/2829537
373,480000,51.827046,-8.231416,6 Bed,4 Bath,http://www.daft.ie/for-sale/terraced-house-the-long-point-main-street-whitegate-co-cork/3712566
374,245000,52.241908,-7.093829,3 Bed,4 Bath,http://www.daft.ie/for-sale/semi-detached-house-1-hunters-way-castlegrange-co-waterford/3714866
375,275000,53.7222136,-6.885674,4 Bed,3 Bath,http://www.daft.ie/for-sale/semi-detached-house-32-balrath-wood-kells-co-meath/3714168
376,285000,52.618684,-9.616882,3 Bed,1 Bath,http://www.daft.ie/for-sale/detached-house-querrin-west-kilkee-co-clare/3636804
377,425000,53.290036,-6.238287,2 Bed,2 Bath,http://www.daft.ie/for-sale/apartment-33-altamont-hall-stoney-road-dundrum-dublin-14/3710840
378,415000,53.321901,-6.271246,2 Bed,2 Bath,http://www.daft.ie/for-sale/apartment-15-wynnefield-house-charleville-road-rathmines-dublin-6/3655774
379,250000,52.91985,-7.341197,3 Bed,3 Bath,http://www.daft.ie/for-sale/end-of-terrace-house-1-crescent-court-ballyroan-road-abbeyleix-co-laois/3713773
380,165000,53.732343,-6.330126,2 Bed,2 Bath,http://www.daft.ie/for-sale/apartment-6-brent-way-aston-green-drogheda-co-louth/3659807
381,495000,53.381729,-6.246489,3 Bed,1 Bath,http://www.daft.ie/for-sale/semi-detached-house-190-iveragh-road-whitehall-whitehall-dublin-9/3713965
